MISS! ; PA: 1449 ; Accessed Data: 0
MISS! ; PA: 46742 ; Accessed Data: 0
MISS! ; PA: 24996 ; Accessed Data: 0
MISS! ; PA: 4317 ; Accessed Data: 0
HIT! ; PA: 44793 ; Accessed Data: 01000100010010101100111010011011
MISS! ; PA: 9311 ; Accessed Data: 0
MISS! ; PA: 17477 ; Accessed Data: 0
MISS! ; PA: 3111 ; Accessed Data: 0
MISS! ; PA: 49600 ; Accessed Data: 0
MISS! ; PA: 35680 ; Accessed Data: 0
HIT! ; PA: 49733 ; Accessed Data: 11110011110101111101101000001100
MISS! ; PA: 24148 ; Accessed Data: 0
MISS! ; PA: 33015 ; Accessed Data: 0
MISS! ; PA: 21772 ; Accessed Data: 0
MISS! ; PA: 58339 ; Accessed Data: 0
MISS! ; PA: 28621 ; Accessed Data: 0
MISS! ; PA: 11151 ; Accessed Data: 0
MISS! ; PA: 14987 ; Accessed Data: 0
MISS! ; PA: 56773 ; Accessed Data: 0
MISS! ; PA: 25388 ; Accessed Data: 0
MISS! ; PA: 20659 ; Accessed Data: 0
MISS! ; PA: 51366 ; Accessed Data: 0
MISS! ; PA: 56119 ; Accessed Data: 0
MISS! ; PA: 39358 ; Accessed Data: 0
MISS! ; PA: 15188 ; Accessed Data: 0
MISS! ; PA: 21837 ; Accessed Data: 0
MISS! ; PA: 38581 ; Accessed Data: 0
MISS! ; PA: 26376 ; Accessed Data: 0
MISS! ; PA: 59134 ; Accessed Data: 0
MISS! ; PA: 54065 ; Accessed Data: 0
MISS! ; PA: 51201 ; Accessed Data: 0
MISS! ; PA: 665 ; Accessed Data: 0
MISS! ; PA: 22161 ; Accessed Data: 0
MISS! ; PA: 64705 ; Accessed Data: 0
MISS! ; PA: 55577 ; Accessed Data: 0
MISS! ; PA: 63288 ; Accessed Data: 0
MISS! ; PA: 37280 ; Accessed Data: 0
MISS! ; PA: 3454 ; Accessed Data: 0
MISS! ; PA: 26034 ; Accessed Data: 0
MISS! ; PA: 9436 ; Accessed Data: 0
MISS! ; PA: 58143 ; Accessed Data: 0
MISS! ; PA: 44327 ; Accessed Data: 0
MISS! ; PA: 3575 ; Accessed Data: 0
MISS! ; PA: 37336 ; Accessed Data: 0
MISS! ; PA: 55556 ; Accessed Data: 0
MISS! ; PA: 38753 ; Accessed Data: 0
HIT! ; PA: 44231 ; Accessed Data: 11111100010010001111100110000100
MISS! ; PA: 47347 ; Accessed Data: 0
MISS! ; PA: 21825 ; Accessed Data: 0
HIT! ; PA: 7288 ; Accessed Data: 00111011001110011100111011011111
MISS! ; PA: 21965 ; Accessed Data: 0
MISS! ; PA: 11889 ; Accessed Data: 0
MISS! ; PA: 65443 ; Accessed Data: 0
MISS! ; PA: 21451 ; Accessed Data: 0
MISS! ; PA: 52801 ; Accessed Data: 0
MISS! ; PA: 43004 ; Accessed Data: 0
MISS! ; PA: 9866 ; Accessed Data: 0
MISS! ; PA: 39378 ; Accessed Data: 0
MISS! ; PA: 64258 ; Accessed Data: 0
MISS! ; PA: 42754 ; Accessed Data: 0
MISS! ; PA: 49789 ; Accessed Data: 0
MISS! ; PA: 46486 ; Accessed Data: 0
MISS! ; PA: 31011 ; Accessed Data: 0
MISS! ; PA: 34190 ; Accessed Data: 0
MISS! ; PA: 31487 ; Accessed Data: 0
MISS! ; PA: 507 ; Accessed Data: 0
MISS! ; PA: 41393 ; Accessed Data: 0
MISS! ; PA: 16562 ; Accessed Data: 0
MISS! ; PA: 592 ; Accessed Data: 0
MISS! ; PA: 47391 ; Accessed Data: 0
MISS! ; PA: 49445 ; Accessed Data: 0
MISS! ; PA: 19480 ; Accessed Data: 0
HIT! ; PA: 19202 ; Accessed Data: 00100011100110001001011011110110
MISS! ; PA: 31958 ; Accessed Data: 0
HIT! ; PA: 46094 ; Accessed Data: 01111111010010110100111111110011
MISS! ; PA: 30331 ; Accessed Data: 0
MISS! ; PA: 49748 ; Accessed Data: 0
HIT! ; PA: 9115 ; Accessed Data: 01011111011001010010100000011110
MISS! ; PA: 25338 ; Accessed Data: 0
MISS! ; PA: 836 ; Accessed Data: 0
MISS! ; PA: 34943 ; Accessed Data: 0
MISS! ; PA: 24968 ; Accessed Data: 0
MISS! ; PA: 65234 ; Accessed Data: 0
MISS! ; PA: 33594 ; Accessed Data: 0
MISS! ; PA: 52614 ; Accessed Data: 0
MISS! ; PA: 53570 ; Accessed Data: 0
MISS! ; PA: 22167 ; Accessed Data: 0
MISS! ; PA: 29859 ; Accessed Data: 0
MISS! ; PA: 2735 ; Accessed Data: 0
MISS! ; PA: 5020 ; Accessed Data: 0
MISS! ; PA: 6540 ; Accessed Data: 0
MISS! ; PA: 50634 ; Accessed Data: 0
MISS! ; PA: 40647 ; Accessed Data: 0
MISS! ; PA: 63563 ; Accessed Data: 0
MISS! ; PA: 17963 ; Accessed Data: 0
MISS! ; PA: 55469 ; Accessed Data: 0
HIT! ; PA: 33817 ; Accessed Data: 00100110000101000110110011001011
MISS! ; PA: 10340 ; Accessed Data: 0
HIT! ; PA: 4104 ; Accessed Data: 01110101101011111001000011111100
MISS! ; PA: 19904 ; Accessed Data: 0
MISS! ; PA: 38182 ; Accessed Data: 0
MISS! ; PA: 20199 ; Accessed Data: 0
MISS! ; PA: 469 ; Accessed Data: 0
MISS! ; PA: 21635 ; Accessed Data: 0
MISS! ; PA: 57835 ; Accessed Data: 0
MISS! ; PA: 37805 ; Accessed Data: 0
MISS! ; PA: 9280 ; Accessed Data: 0
MISS! ; PA: 5324 ; Accessed Data: 0
MISS! ; PA: 10903 ; Accessed Data: 0
MISS! ; PA: 10517 ; Accessed Data: 0
MISS! ; PA: 30733 ; Accessed Data: 0
MISS! ; PA: 56420 ; Accessed Data: 0
MISS! ; PA: 59003 ; Accessed Data: 0
MISS! ; PA: 14605 ; Accessed Data: 0
MISS! ; PA: 37856 ; Accessed Data: 0
HIT! ; PA: 48555 ; Accessed Data: 01000011010001101110111011101000
MISS! ; PA: 24969 ; Accessed Data: 0
MISS! ; PA: 27150 ; Accessed Data: 0
MISS! ; PA: 57489 ; Accessed Data: 0
MISS! ; PA: 25382 ; Accessed Data: 0
MISS! ; PA: 50887 ; Accessed Data: 0
MISS! ; PA: 54595 ; Accessed Data: 0
MISS! ; PA: 17776 ; Accessed Data: 0
MISS! ; PA: 38913 ; Accessed Data: 0
MISS! ; PA: 51315 ; Accessed Data: 0
MISS! ; PA: 49881 ; Accessed Data: 0
MISS! ; PA: 50107 ; Accessed Data: 0
MISS! ; PA: 2136 ; Accessed Data: 0
MISS! ; PA: 14560 ; Accessed Data: 0
MISS! ; PA: 33092 ; Accessed Data: 0
MISS! ; PA: 36977 ; Accessed Data: 0
HIT! ; PA: 3860 ; Accessed Data: 00111001100101001111010011111001
MISS! ; PA: 19454 ; Accessed Data: 0
MISS! ; PA: 6969 ; Accessed Data: 0
MISS! ; PA: 1192 ; Accessed Data: 0
MISS! ; PA: 5705 ; Accessed Data: 0
MISS! ; PA: 45352 ; Accessed Data: 0
HIT! ; PA: 4434 ; Accessed Data: 01001111010100110100101111100010
MISS! ; PA: 42674 ; Accessed Data: 0
MISS! ; PA: 9410 ; Accessed Data: 0
MISS! ; PA: 58948 ; Accessed Data: 0
MISS! ; PA: 9095 ; Accessed Data: 0
MISS! ; PA: 34942 ; Accessed Data: 0
MISS! ; PA: 49579 ; Accessed Data: 0
MISS! ; PA: 54303 ; Accessed Data: 0
HIT! ; PA: 39183 ; Accessed Data: 01001010011011000001101111110000
MISS! ; PA: 15198 ; Accessed Data: 0
MISS! ; PA: 49194 ; Accessed Data: 0
MISS! ; PA: 46756 ; Accessed Data: 0
MISS! ; PA: 24913 ; Accessed Data: 0
HIT! ; PA: 63177 ; Accessed Data: 10000011010000000011011101011101
MISS! ; PA: 14622 ; Accessed Data: 0
MISS! ; PA: 26495 ; Accessed Data: 0
MISS! ; PA: 60349 ; Accessed Data: 0
MISS! ; PA: 48502 ; Accessed Data: 0
MISS! ; PA: 45002 ; Accessed Data: 0
MISS! ; PA: 27797 ; Accessed Data: 0
MISS! ; PA: 10554 ; Accessed Data: 0
MISS! ; PA: 1939 ; Accessed Data: 0
MISS! ; PA: 26579 ; Accessed Data: 0
MISS! ; PA: 5099 ; Accessed Data: 0
MISS! ; PA: 25028 ; Accessed Data: 0
MISS! ; PA: 26225 ; Accessed Data: 0
MISS! ; PA: 49186 ; Accessed Data: 0
MISS! ; PA: 14591 ; Accessed Data: 0
MISS! ; PA: 1480 ; Accessed Data: 0
MISS! ; PA: 37708 ; Accessed Data: 0
MISS! ; PA: 5515 ; Accessed Data: 0
MISS! ; PA: 59585 ; Accessed Data: 0
MISS! ; PA: 32024 ; Accessed Data: 0
MISS! ; PA: 18711 ; Accessed Data: 0
MISS! ; PA: 30686 ; Accessed Data: 0
MISS! ; PA: 38294 ; Accessed Data: 0
MISS! ; PA: 16121 ; Accessed Data: 0
MISS! ; PA: 491 ; Accessed Data: 0
MISS! ; PA: 54390 ; Accessed Data: 0
MISS! ; PA: 51250 ; Accessed Data: 0
MISS! ; PA: 50590 ; Accessed Data: 0
HIT! ; PA: 52458 ; Accessed Data: 00111100110110110010111010100111
MISS! ; PA: 47121 ; Accessed Data: 0
MISS! ; PA: 44680 ; Accessed Data: 0
MISS! ; PA: 28293 ; Accessed Data: 0
MISS! ; PA: 12043 ; Accessed Data: 0
MISS! ; PA: 64859 ; Accessed Data: 0
MISS! ; PA: 15567 ; Accessed Data: 0
MISS! ; PA: 34379 ; Accessed Data: 0
MISS! ; PA: 25126 ; Accessed Data: 0
MISS! ; PA: 23871 ; Accessed Data: 0
MISS! ; PA: 11675 ; Accessed Data: 0
MISS! ; PA: 6045 ; Accessed Data: 0
MISS! ; PA: 18059 ; Accessed Data: 0
MISS! ; PA: 30886 ; Accessed Data: 0
MISS! ; PA: 46101 ; Accessed Data: 0
MISS! ; PA: 59658 ; Accessed Data: 0
MISS! ; PA: 3902 ; Accessed Data: 0
MISS! ; PA: 31245 ; Accessed Data: 0
MISS! ; PA: 50410 ; Accessed Data: 0
HIT! ; PA: 8316 ; Accessed Data: 00111000010010100110111011110100
HIT! ; PA: 35544 ; Accessed Data: 00000111000101100010000001110110
MISS! ; PA: 27525 ; Accessed Data: 0
MISS! ; PA: 8745 ; Accessed Data: 0
MISS! ; PA: 60154 ; Accessed Data: 0
MISS! ; PA: 10486 ; Accessed Data: 0
MISS! ; PA: 48844 ; Accessed Data: 0
MISS! ; PA: 53187 ; Accessed Data: 0
MISS! ; PA: 49634 ; Accessed Data: 0
MISS! ; PA: 28665 ; Accessed Data: 0
MISS! ; PA: 7150 ; Accessed Data: 0
MISS! ; PA: 55391 ; Accessed Data: 0
MISS! ; PA: 65345 ; Accessed Data: 0
MISS! ; PA: 17039 ; Accessed Data: 0
MISS! ; PA: 840 ; Accessed Data: 0
MISS! ; PA: 49795 ; Accessed Data: 0
MISS! ; PA: 2802 ; Accessed Data: 0
MISS! ; PA: 54311 ; Accessed Data: 0
MISS! ; PA: 58792 ; Accessed Data: 0
HIT! ; PA: 12940 ; Accessed Data: 01110000000010111111100100011110
MISS! ; PA: 44259 ; Accessed Data: 0
MISS! ; PA: 41839 ; Accessed Data: 0
MISS! ; PA: 39083 ; Accessed Data: 0
MISS! ; PA: 36116 ; Accessed Data: 0
MISS! ; PA: 60976 ; Accessed Data: 0
MISS! ; PA: 6534 ; Accessed Data: 0
MISS! ; PA: 2520 ; Accessed Data: 0
HIT! ; PA: 47967 ; Accessed Data: 10111001011001100010000101001111
MISS! ; PA: 63515 ; Accessed Data: 0
MISS! ; PA: 13677 ; Accessed Data: 0
MISS! ; PA: 14768 ; Accessed Data: 0
MISS! ; PA: 2649 ; Accessed Data: 0
MISS! ; PA: 62944 ; Accessed Data: 0
MISS! ; PA: 43008 ; Accessed Data: 0
MISS! ; PA: 38012 ; Accessed Data: 0
MISS! ; PA: 40667 ; Accessed Data: 0
MISS! ; PA: 58204 ; Accessed Data: 0
MISS! ; PA: 9625 ; Accessed Data: 0
MISS! ; PA: 50531 ; Accessed Data: 0
MISS! ; PA: 53744 ; Accessed Data: 0
MISS! ; PA: 58980 ; Accessed Data: 0
MISS! ; PA: 22188 ; Accessed Data: 0
MISS! ; PA: 9964 ; Accessed Data: 0
MISS! ; PA: 9946 ; Accessed Data: 0
MISS! ; PA: 1631 ; Accessed Data: 0
MISS! ; PA: 26427 ; Accessed Data: 0
MISS! ; PA: 44772 ; Accessed Data: 0
MISS! ; PA: 39537 ; Accessed Data: 0
MISS! ; PA: 31411 ; Accessed Data: 0
MISS! ; PA: 2990 ; Accessed Data: 0
MISS! ; PA: 25939 ; Accessed Data: 0
MISS! ; PA: 31566 ; Accessed Data: 0
MISS! ; PA: 6044 ; Accessed Data: 0
MISS! ; PA: 11209 ; Accessed Data: 0
HIT! ; PA: 31879 ; Accessed Data: 11011111000001000001100011011010
MISS! ; PA: 57122 ; Accessed Data: 0
MISS! ; PA: 15149 ; Accessed Data: 0
MISS! ; PA: 17654 ; Accessed Data: 0
MISS! ; PA: 25745 ; Accessed Data: 0
HIT! ; PA: 13620 ; Accessed Data: 01110011100001110011000100101000
MISS! ; PA: 11584 ; Accessed Data: 0
MISS! ; PA: 65060 ; Accessed Data: 0
MISS! ; PA: 37719 ; Accessed Data: 0
MISS! ; PA: 65315 ; Accessed Data: 0
MISS! ; PA: 43886 ; Accessed Data: 0
MISS! ; PA: 61789 ; Accessed Data: 0
MISS! ; PA: 44868 ; Accessed Data: 0
HIT! ; PA: 3868 ; Accessed Data: 11101011100100101010011111101011
MISS! ; PA: 34970 ; Accessed Data: 0
MISS! ; PA: 60600 ; Accessed Data: 0
MISS! ; PA: 403 ; Accessed Data: 0
MISS! ; PA: 55124 ; Accessed Data: 0
MISS! ; PA: 24837 ; Accessed Data: 0
MISS! ; PA: 9301 ; Accessed Data: 0
MISS! ; PA: 59568 ; Accessed Data: 0
HIT! ; PA: 5501 ; Accessed Data: 00000001010001110011100110001010
MISS! ; PA: 60897 ; Accessed Data: 0
MISS! ; PA: 26039 ; Accessed Data: 0
MISS! ; PA: 25994 ; Accessed Data: 0
HIT! ; PA: 8627 ; Accessed Data: 10101000110000110100110001110000
MISS! ; PA: 50488 ; Accessed Data: 0
MISS! ; PA: 47665 ; Accessed Data: 0
HIT! ; PA: 55741 ; Accessed Data: 10001100111000011111001000010101
MISS! ; PA: 47391 ; Accessed Data: 0
MISS! ; PA: 35685 ; Accessed Data: 0
MISS! ; PA: 65523 ; Accessed Data: 0
MISS! ; PA: 8201 ; Accessed Data: 0
MISS! ; PA: 24109 ; Accessed Data: 0
MISS! ; PA: 50793 ; Accessed Data: 0
MISS! ; PA: 60282 ; Accessed Data: 0
MISS! ; PA: 45193 ; Accessed Data: 0
MISS! ; PA: 37811 ; Accessed Data: 0
MISS! ; PA: 18258 ; Accessed Data: 0
MISS! ; PA: 17282 ; Accessed Data: 0
MISS! ; PA: 35316 ; Accessed Data: 0
MISS! ; PA: 21051 ; Accessed Data: 0
MISS! ; PA: 18857 ; Accessed Data: 0
MISS! ; PA: 27924 ; Accessed Data: 0
MISS! ; PA: 53005 ; Accessed Data: 0
MISS! ; PA: 16853 ; Accessed Data: 0
MISS! ; PA: 52521 ; Accessed Data: 0
MISS! ; PA: 50737 ; Accessed Data: 0
MISS! ; PA: 46967 ; Accessed Data: 0
MISS! ; PA: 47735 ; Accessed Data: 0
HIT! ; PA: 4435 ; Accessed Data: 01001111010100110100101111100010
MISS! ; PA: 51115 ; Accessed Data: 0
MISS! ; PA: 35458 ; Accessed Data: 0
MISS! ; PA: 21848 ; Accessed Data: 0
MISS! ; PA: 43846 ; Accessed Data: 0
MISS! ; PA: 34190 ; Accessed Data: 0
MISS! ; PA: 33304 ; Accessed Data: 0
MISS! ; PA: 59122 ; Accessed Data: 0
MISS! ; PA: 3582 ; Accessed Data: 0
MISS! ; PA: 46139 ; Accessed Data: 0
MISS! ; PA: 20683 ; Accessed Data: 0
MISS! ; PA: 13811 ; Accessed Data: 0
MISS! ; PA: 49167 ; Accessed Data: 0
MISS! ; PA: 2353 ; Accessed Data: 0
MISS! ; PA: 32688 ; Accessed Data: 0
